name,surname,gender,region,allegiance
Annika,Stein,female,3,Greyjoy
Christian,Schreiber,male,2,Bolton
Charlotte,Arnold,female,2,Stark
Timo,Frank,male,2,Bolton
Xaver,Schuster,male,3,Tyrell
Pauline,Albrecht,female,2,Stark
Xenia,Schmitz,female,2,Stark
Clara,Huber,female,3,Greyjoy
Helene,Lannister,female,8,Lannister
Jannis,Hartmann,male,3,Lannister
Mara,Schäfer,female,2,Lannister
Mika,Baratheon,male,9,Baratheon
Leonie,Tyrell,female,9,Tyrell
Luca,Targaryen,male,10,Baratheon
Fiona,Nebert,female,1,Greyjoy
Noah,Dietrich,male,1,Lannister
Robin,Simon,male,2,Frey
Jayden,Lannister,male,10,Lannister
Paula,Walter,female,1,Bolton
Jason,Rams,male,3,Martell
Zoey,Arnold,female,2,Martell
Kilian,Conrad,male,3,Stark
Sophie,Lannister,female,6,Tyrell
Wolfgang,Arryn,male,7,Arryn
Vanessa,Scholz,female,3,Baratheon
Anni,Walter,female,3,Tyrell
Martha,Busch,female,2,Tyrell
Annabell,Greyjoy,female,5,Greyjoy
John,Heinrich,male,2,Lannister
Carla,Vogt,female,3,Frey
Mara,Stark,female,6,Stark
Josephine,Pfeiffer,female,1,Tyrell
Carla,Tyrell,female,9,Stark
Helena,Albrecht,female,1,Martell
Celina,Baratheon,female,7,Baratheon
Matteo,Böhm,male,1,Frey
Oliver,Pohl,male,2,Lannister
Robin,Becker,male,3,Bolton
Victoria,Böhm,female,3,Lannister
Jason,Schulte,male,2,Stark
Jason,Kraus,male,3,Martell
Christian,Thoma,male,3,Targaryen
Theresa,Tyrell,female,10,Frey
Liam,Maier,male,3,Targaryen
Paulina,Schneider,female,2,Frey
Adrian,Schneider,male,1,Lannister
Elena,Arnold,female,3,Lannister
Lian,Teichmann,male,1,Bolton
Colin,Hahn,male,1,Frey
Clara,Tyrell,female,10,Tyrell
Emilia,Baratheon,female,4,Baratheon
Annabell,Döring,female,1,Greyjoy
Mika,Tyrell,male,8,Tyrell
Carlotta,Vogt,female,3,Tyrell
Gabriel,Wolf,male,1,Martell
Milena,Huber,female,2,Frey
Josephine,Greyjoy,female,7,Greyjoy
Mina,Huber,female,1,Targaryen
Liam,Bergmann,male,2,Martell
Ulrich,Möller,male,3,Martell
Miriam,Ziegler,female,2,Frey
Ella,Rams,female,1,Frey
Aylin,König,female,3,Bolton
Max,Krämer,male,2,Frey
Levin,Hartmann,male,3,Bolton
Aylin,Martell,female,8,Martell
Martin,Bauer,male,1,Martell
Lena,Müller,female,2,Martell
Theresa,Stein,female,2,Greyjoy
Charlotte,Ludwig,female,1,Greyjoy
Marlene,Koch,female,3,Baratheon
Thomas,Tyrell,male,7,Tyrell
Simon,Schreiber,male,1,Bolton
Isabell,Schulze,female,1,Frey
Fabian,Zimmermann,male,2,Targaryen
Lina,Klein,female,3,Baratheon
Emelie,Ebert,female,1,Frey
Zoey,Krämer,female,2,Martell
Frieda,Neumann,female,3,Lannister
Martin,Engel,male,3,Targaryen
Toni,Neumann,male,3,Baratheon
Leon,Seidel,male,3,Lannister
Selina,Ullrich,female,3,Stark
Mila,Tyrell,female,8,Greyjoy
Helena,Schulte,female,2,Baratheon
Milan,Lannister,male,10,Lannister
Hannah,Rams,female,2,Martell
Robert,Seidel,male,3,Greyjoy
Lennox,Wolf,male,2,Tyrell
Liam,Lannister,male,8,Lannister
Emelie,Horn,female,2,Greyjoy
Lisa,Fischer,female,1,Arryn
Samuel,Schulte,male,3,Martell
Karl,Christ,male,2,Frey
Julius,Krause,male,3,Arryn
Johann,Frank,male,3,Tyrell
Gunter,Krüger,male,3,Bolton
Franziska,Haas,female,3,Stark
Greta,Martell,female,6,Martell
Josephine,Targaryen,female,9,Targaryen
Oliver,König,male,3,Martell
Erik,Conrad,male,3,Lannister
Lilly,Kraus,female,3,Targaryen
Mina,Kaiser,female,2,Bolton
Aaron,Baumann,male,2,Martell
Melissa,Fuchs,female,2,Baratheon
Helene,Lehmann,female,2,Stark
Theo,Nebert,male,2,Frey
Theresa,Krause,female,2,Baratheon
Lena,Baumann,female,2,Stark
Helena,Peters,female,2,Lannister
Jayden,Stark,male,6,Stark
Fabienne,Rams,female,2,Lannister
Laura,Schneider,female,3,Baratheon
Doreen,Frank,female,1,Baratheon
Milena,Lannister,female,9,Lannister
Tobias,Hartmann,male,1,Greyjoy
Lenny,Teichmann,male,3,Stark
Simon,Lang,male,2,Greyjoy
Matteo,Frey,male,10,Frey
Zoey,Baratheon,female,5,Tyrell
Lucy,Seidel,female,3,Stark
Lena,Ebert,female,3,Frey
Maximilian,Lehmann,male,1,Greyjoy
Mattis,Stein,male,2,Stark
Zoey,Bergmann,female,1,Tyrell
Michael,Nebert,male,2,Lannister
