charID,name,surname,allegiance
0001,Lara,Hartmann,Frey
0002,Mathilda,Bauer,Tyrell
0003,Maria,Braun,Stark
0004,Julian,Krause,Stark
0005,Paul,Frey,Bolton
0006,Henry,Hartmann,Baratheon
0007,Jayden,Sommer,Arryn
0008,Jonathan,Voigt,Baratheon
0009,Stella,Becker,Lannister
0010,Leila,Gross,Tyrell
0011,Daniel,Becker,Stark
0012,Anna,Rams,Targaryen
0013,Alina,Herrmann,Stark
0014,Thomas,Martell,Martell
0015,Jannis,Doring,Martell
0016,Vanessa,Fuchs,Martell
0017,Rafael,Lannister,Lannister
0018,Paul,Stark,Stark
0019,Olivia,Lannister,Lannister
0020,Melissa,Brandt,Martell
0021,Jule,Dietrich,Tyrell
0022,Ella,Teichmann,Targaryen
0023,Theo,Gross,Tyrell
0024,Ole,Busch,Martell
0025,Fabian,Werner,Lannister
0026,Malte,Gross,Tyrell
0027,Finn,Stark,Stark
0028,Henry,Schmitz,Stark
0029,Leonie,Schmitt,Tyrell
0030,Max,Schwarz,Stark
0031,Philipp,Martell,Martell
0032,Fabian,Thoma,Baratheon
0033,Jona,Fischer,Stark
0034,Hannah,Schmitt,Lannister
0035,Sebastian,Thoma,Lannister
0036,Luise,Hartmann,Martell
0037,Julia,Frey,Frey
0038,Lilly,Maier,Lannister
0039,Florian,Moller,Greyjoy
0040,Julian,Richter,Greyjoy
0041,Ingo,Conrad,Stark
0042,Leonard,Schreiber,Targaryen
0043,Lena,Lannister,Lannister
0044,Joel,Schultz,Bolton
0045,Maxim,Lannister,Martell
0046,Helene,Vogt,Stark
0047,Johannes,Schuster,Lannister
0048,Lina,Roth,Baratheon
0049,Hannah,Herrmann,Tyrell
0050,Nora,Baratheon,Baratheon
0051,Linus,Frey,Frey
0052,Marlene,Meyer,Lannister
0053,Valentin,Rams,Baratheon
0054,Stella,Lannister,Lannister
0055,Benedikt,Kaiser,Tyrell
0056,Luis,Weiss,Martell
0057,Nico,Horn,Martell
0058,Anton,Kraus,Martell
0059,Gunter,Greyjoy,Greyjoy
0060,Joel,Baratheon,Baratheon
0061,Lilly,Stark,Stark
0062,Valentina,Schreiber,Bolton
0063,Xaver,Friedrichs,Baratheon
0064,Emil,Fuchs,Tyrell
0065,Carla,Ingerfurth,Frey
0066,Jannis,Muller,Baratheon
0067,Lisa,Stark,Stark
0068,Gunter,Pfeiffer,Martell
0069,Ulrike,Horn,Lannister
0070,Magdalena,Kraus,Targaryen
0071,Sina,Rams,Greyjoy
0072,Valentin,Ilsner,Tyrell
0073,Leni,Doring,Lannister
0074,Lina,Christ,Stark
0075,Celina,Koch,Greyjoy
0076,Nico,Teichmann,Bolton
0077,Bennet,Schmidt,Martell
0078,Doreen,Franke,Tyrell
0079,Tim,Lannister,Lannister
0080,Ulrich,Rams,Tyrell
0081,Martha,Fischer,Baratheon
0082,Hannah,Walter,Lannister
0083,Jonathan,Baratheon,Baratheon
0084,Phil,Weiss,Baratheon
0085,Joel,Meyer,Lannister
0086,Timo,Martell,Martell
0087,Anna,Engel,Frey
0088,Ann-Julie,Otto,Lannister
0089,Mila,Keller,Bolton
0090,Oskar,Peters,Tyrell
0091,Robin,Thoma,Lannister
0092,Frieda,Bauer,Stark
0093,Moritz,Wolf,Lannister
0094,Elisabeth,Christ,Arryn
0095,Isabell,Tyrell,Tyrell
0096,Matteo,Lorenz,Baratheon
0097,Anton,Schneider,Baratheon
0098,Luna,Tyrell,Tyrell
0099,Ronja,Teichmann,Greyjoy
0100,Ulrich,Dietrich,Stark
0101,Lisa,Martell,Martell
0102,Frieda,Targaryen,Targaryen
0103,Marlene,Schmidt,Frey
0104,Anna,Berger,Tyrell
0105,Lena,Muller,Martell
0106,Alexander,Lannister,Lannister
0107,Johann,Ilsner,Greyjoy
0108,Jana,Kuhn,Lannister
0109,Matteo,Lannister,Lannister
0110,Zoe,Schneider,Lannister
0111,Lina,Graf,Martell
0112,Daniel,Schroder,Martell
0113,Sam,Schwarz,Baratheon
0114,Selina,Schroder,Martell
0115,Lisa,Stark,Stark
0116,Lukas,Neumann,Lannister
0117,Jannik,Braun,Tyrell
0118,Lilly,Moller,Greyjoy
0119,Sam,Weber,Lannister
0120,Magdalena,Martell,Martell
0121,Julian,Kohler,Tyrell
0122,David,Nebert,Greyjoy
0123,Fiona,Gunther,Targaryen
0124,Dieter,Roth,Martell
0125,Lenny,Bauer,Lannister
0126,Mara,Ebert,Martell
0127,Emma,Becker,Tyrell
0128,Fiona,Nebert,Lannister
0129,Julia,Schultz,Greyjoy
0130,Luis,Tyrell,Tyrell
0131,Robert,Frey,Frey
0132,Florian,Peters,Frey
0133,Christian,Weiss,Frey
0134,Moritz,Frank,Tyrell
0135,Maila,Moller,Greyjoy
0136,Maila,Frey,Frey
0137,Robin,Hartmann,Frey
0138,Paulina,Richter,Bolton
0139,Rafael,Martell,Martell
0140,Milena,Greyjoy,Greyjoy
0141,Valentin,Seidel,Frey
0142,Emma,Martell,Martell
0143,Fabienne,Roth,Greyjoy
0144,Tim,Hoffmann,Lannister
0145,Bennet,Lannister,Lannister
0146,Noah,Horn,Tyrell
0147,Theo,Weiss,Martell
0148,Bruno,Herrmann,Targaryen
0149,Jule,Martell,Stark
0150,Lilly,Baumann,Greyjoy
0151,Julia,Lehmann,Martell
0152,Milan,Winkler,Bolton
0153,Jonas,Wagner,Lannister
0154,Theo,Frank,Stark
0155,Matteo,Thiele,Tyrell
0156,Ulrike,Kruger,Targaryen
0157,Martin,Lannister,Lannister
0158,Lenny,Baratheon,Baratheon
0159,Celina,Schroder,Martell
0160,Till,Albrecht,Baratheon
0161,Nora,Vogt,Frey
0162,Ann-Julie,Fischer,Stark
0163,Luna,Conrad,Baratheon
0164,Mats,Targaryen,Targaryen
0165,Ole,Schmitz,Martell
0166,Niklas,Martin,Baratheon
0167,Martha,Martell,Martell
0168,Bianca,Schuster,Greyjoy
0169,Antonia,Lehmann,Targaryen
0170,Sarah,Lang,Tyrell
0171,Alina,Hartmann,Tyrell
0172,Johann,Huber,Baratheon
0173,Magdalena,Wagner,Martell
0174,Laura,Jung,Bolton
0175,Mira,Wagner,Lannister
0176,Jakob,Becker,Stark
0177,Mats,Ludwig,Lannister
0178,Valentina,Nebert,Targaryen
0179,Helena,Frey,Lannister
0180,Kilian,Haas,Greyjoy
0181,Marie,Schultz,Bolton
0182,Elina,Beck,Martell
0183,Doreen,Conrad,Greyjoy
0184,Theo,Otto,Frey
0185,Josephine,Graf,Martell
0186,Thomas,Werner,Lannister
0187,Lilly,Simon,Martell
0188,Johann,Schmitt,Stark
0189,Jakob,Schuster,Arryn
0190,Charlotte,Kaiser,Baratheon
0191,Liam,Meyer,Greyjoy
0192,Marlene,Hahn,Lannister
0193,Johanna,Richter,Stark
0194,Hannes,Walter,Tyrell
0195,Lisa,Kramer,Greyjoy
0196,Maxim,Stein,Tyrell
0197,Charlotte,Ludwig,Martell
0198,Melina,Lannister,Lannister
0199,Marie,Schwarz,Stark
0200,Jonathan,Muller,Bolton
0201,Wenke,Wagner,Targaryen
0202,Melissa,Braun,Lannister
0203,Malte,Schulze,Baratheon
0204,Sam,Schubert,Martell
0205,Leni,Thoma,Lannister
0206,Malte,Winter,Frey
0207,Doreen,Fuchs,Bolton
0208,Paul,Bolton,Bolton
0209,Sam,Frey,Frey
0210,Colin,Konig,Targaryen
0211,Maxim,Wagner,Greyjoy
0212,Maria,Baumann,Bolton
0213,Selina,Christ,Frey
0214,Leo,Pohl,Tyrell
0215,Julius,Becker,Lannister
0216,Christian,Brandt,Stark
0217,Konstantin,Lannister,Lannister
0218,Emil,Martin,Martell
0219,Maja,Tyrell,Tyrell
0220,Jayden,Lange,Baratheon
0221,Dieter,Ziegler,Frey
0222,Mathilda,Schumacher,Martell
0223,Emilia,Neumann,Tyrell
0224,Melissa,Schafer,Stark
0225,Melina,Friedrichs,Lannister
0226,Melissa,Schmitt,Tyrell
0227,Marie,Muller,Lannister
0228,Chiara,Maier,Lannister
0229,Max,Rams,Tyrell
0230,Jan,Schumacher,Martell
0231,Anni,Herrmann,Frey
0232,Isabell,Jung,Lannister
0233,Tom,Thiele,Martell
0234,Lara,Albrecht,Stark
0235,Zoe,Klein,Frey
0236,Adrian,Lannister,Lannister
0237,Tobias,Lange,Greyjoy
0238,Julia,Schultz,Tyrell
0239,Aylin,Seidel,Stark
0240,Maximilian,Bolton,Bolton
0241,Ida,Voigt,Lannister
0242,Jannik,Klein,Stark
0243,Damian,Schreiber,Baratheon
0244,Jakob,Martell,Martell
0245,Nora,Schubert,Bolton
0246,Lena,Targaryen,Targaryen
0247,Leonard,Kaiser,Martell
0248,Lotta,Tyrell,Tyrell
0249,Julius,Graf,Tyrell
0250,Melissa,Ziegler,Tyrell
0251,Jayden,Baratheon,Baratheon
0252,Matteo,Kohler,Frey
0253,Annabell,Engel,Greyjoy
0254,Leonie,Dietrich,Tyrell
0255,Leonie,Stein,Martell
0256,Leila,Engel,Martell
0257,Anton,Greyjoy,Greyjoy
0258,Katharina,Arnold,Greyjoy
0259,Helena,Moller,Baratheon
0260,Nils,Tyrell,Tyrell
0261,Christian,Tyrell,Tyrell
0262,Mia,Otto,Lannister
0263,Lea,Thiele,Targaryen
0264,Tobias,Kraus,Martell
0265,Noel,Wagner,Targaryen
0266,Anton,Ilsner,Frey
0267,Wolfgang,Peters,Frey
0268,Luisa,Frey,Frey
0269,Lennard,Graf,Tyrell
0270,Maria,Kuhn,Lannister
0271,Leni,Martell,Martell
0272,Emilia,Stark,Stark
0273,Wolfgang,Horn,Lannister
0274,Nick,Vogel,Tyrell
0275,Nina,Ingerfurth,Stark
0276,Celina,Muller,Lannister
0277,Zoe,Schulte,Greyjoy
0278,Yasha,Schmidt,Bolton
0279,Maximilian,Beck,Frey
0280,Miriam,Martell,Martell
0281,Lilly,Beck,Martell
0282,Eva,Schwarz,Tyrell
0283,Milena,Winter,Baratheon
0284,Linda,Kohler,Tyrell
0285,Alexander,Pohl,Lannister
0286,Jona,Pfeiffer,Lannister
0287,Ronja,Seidel,Tyrell
0288,Phil,Lehmann,Tyrell
0289,Isabella,Orlowski,Tyrell
0290,Milan,Maier,Lannister
0291,Tim,Moller,Arryn
0292,Melissa,Hartmann,Martell
0293,Tom,Jager,Tyrell
0294,Aylin,Baratheon,Baratheon
0295,Aylin,Haas,Bolton
0296,Lian,Schwarz,Baratheon
0297,Isabella,Schulze,Martell
0298,Julius,Bolton,Bolton
0299,Marie,Frey,Targaryen
0300,Kilian,Tyrell,Tyrell
0301,Luise,Lannister,Lannister
0302,Michael,Ebert,Frey
0303,Finn,Tyrell,Tyrell
0304,Elina,Heinrich,Stark
0305,Anton,Schulte,Arryn
0306,Yasha,Beck,Greyjoy
0307,Samuel,Heinrich,Baratheon
0308,Nico,Teichmann,Lannister
0309,Erik,Haas,Tyrell
0310,Maximilian,Thoma,Tyrell
0311,Franziska,Baratheon,Baratheon
0312,Emily,Schubert,Greyjoy
0313,Nick,Walter,Martell
0314,Henry,Herrmann,Frey
0315,Felix,Targaryen,Targaryen
0316,Emilia,Frey,Frey
0317,Frieda,Heinrich,Frey
0318,Mira,Lannister,Targaryen
0319,Lotta,Bauer,Baratheon
0320,Katharina,Conrad,Martell
0321,Stella,Scholz,Bolton
0322,Leila,Schreiber,Frey
0323,Paul,Moller,Frey
0324,Alina,Lange,Arryn
0325,Clara,Schulte,Tyrell
0326,Luisa,Werner,Targaryen
0327,Emilia,Baratheon,Baratheon
0328,Maria,Gross,Tyrell
0329,Noel,Koch,Tyrell
0330,Bennet,Schmitz,Martell
0331,Damian,Kruger,Martell
0332,Sebastian,Bolton,Martell
0333,Leni,Sauer,Frey
0334,Tim,Lannister,Lannister
0335,Liam,Lannister,Lannister
0336,Phil,Muller,Greyjoy
0337,Felix,Lannister,Lannister
0338,Jason,Graf,Frey
0339,David,Martell,Martell
0340,Paul,Hartmann,Martell
0341,Johannes,Scholz,Lannister
0342,Ulrich,Weber,Baratheon
0343,Liam,Schafer,Bolton
0344,Lilly,Jager,Stark
0345,Jule,Schmidt,Greyjoy
0346,Fiona,Lannister,Lannister
0347,Fiona,Martell,Martell
0348,Ben,Huber,Bolton
0349,Carlotta,Orlowski,Stark
0350,Mattis,Schumacher,Baratheon
0351,Moritz,Neumann,Tyrell
0352,Zoe,Kaiser,Lannister
0353,Adrian,Walter,Greyjoy
0354,Sebastian,Martell,Martell
0355,Charlotte,Schwarz,Tyrell
