charID,name,surname,gender,royaltyScale,main
0001,Lara,Hartmann,female,3,false
0002,Mathilda,Bauer,female,2,false
0003,Maria,Braun,female,2,false
0004,Julian,Krause,male,3,false
0005,Paul,Konig,male,2,false
0006,Henry,Hartmann,male,2,false
0007,Jayden,Sommer,male,3,false
0008,Jonathan,Voigt,male,3,false
0009,Stella,Becker,female,3,false
0010,Leila,Gross,female,3,false
0011,Daniel,Becker,male,3,false
0012,Anna,Tyrell,female,10,false
0013,Alina,Stark,female,10,false
0014,Thomas,Peters,male,1,false
0015,Jannis,Stark,male,9,false
0016,Vanessa,Fuchs,female,3,false
0017,Rafael,Rams,male,3,false
0018,Paul,Koch,male,3,false
0019,Olivia,Schwarz,female,3,false
0020,Melissa,Brandt,female,3,false
0021,Jule,Dietrich,female,3,false
0022,Ella,Teichmann,female,1,false
0023,Theo,Gross,male,1,false
0024,Ole,Martell,male,4,false
0025,Fabian,Werner,male,1,false
0026,Malte,Lannister,male,10,false
0027,Finn,Stein,male,3,false
0028,Henry,Schmitz,male,2,false
0029,Leonie,Schmitt,female,1,false
0030,Max,Schwarz,male,1,false
0031,Philipp,Wagner,male,1,false
0032,Fabian,Thoma,male,2,false
0033,Jona,Fischer,male,1,false
0034,Hannah,Schmitt,female,2,false
0035,Sebastian,Thoma,male,1,false
0036,Luise,Lannister,female,7,false
0037,Julia,Weber,female,1,false
0038,Lilly,Maier,female,2,false
0039,Florian,Moller,male,3,false
0040,Julian,Greyjoy,male,7,false
0041,Ingo,Conrad,male,2,false
0042,Leonard,Tyrell,male,10,false
0043,Lena,Hoffmann,female,2,false
0044,Joel,Schultz,male,2,false
0045,Maxim,Koch,male,3,false
0046,Helene,Lannister,female,10,false
0047,Johannes,Stark,male,8,false
0048,Lina,Roth,female,2,false
0049,Hannah,Herrmann,female,3,false
0050,Nora,Richter,female,3,false
0051,Linus,Stein,male,2,false
0052,Marlene,Tyrell,female,9,false
0053,Valentin,Rams,male,1,false
0054,Stella,Ebert,female,1,false
0055,Benedikt,Kaiser,male,1,false
0056,Luis,Weiss,male,1,false
0057,Nico,Horn,male,2,false
0058,Anton,Kraus,male,2,false
0059,Gunter,Franke,male,1,false
0060,Joel,Lannister,male,10,false
0061,Lilly,Bohm,female,3,false
0062,Valentina,Schreiber,female,3,false
0063,Xaver,Friedrichs,male,2,false
0064,Emil,Fuchs,male,1,false
0065,Carla,Ingerfurth,female,3,false
0066,Jannis,Muller,male,3,false
0067,Lisa,Bolton,female,5,false
0068,Gunter,Pfeiffer,male,1,false
0069,Ulrike,Horn,female,2,false
0070,Magdalena,Kraus,female,3,false
0071,Sina,Tyrell,female,10,false
0072,Valentin,Frey,male,9,false
0073,Leni,Doring,female,2,false
0074,Lina,Christ,female,1,false
0075,Celina,Lannister,female,10,false
0076,Nico,Teichmann,male,2,false
0077,Bennet,Schmidt,male,1,false
0078,Doreen,Franke,female,3,false
0079,Tim,Schwarz,male,2,false
0080,Ulrich,Rams,male,3,false
0081,Martha,Baratheon,female,7,false
0082,Hannah,Walter,female,1,false
0083,Jonathan,Stark,male,10,false
0084,Phil,Frey,male,6,false
0085,Joel,Meyer,male,3,false
0086,Timo,Dietrich,male,1,false
0087,Anna,Targaryen,female,9,false
0088,Ann-Julie,Otto,female,1,false
0089,Mila,Keller,female,3,false
0090,Oskar,Peters,male,3,false
0091,Robin,Thoma,male,1,false
0092,Frieda,Bauer,female,3,false
0093,Moritz,Wolf,male,2,false
0094,Elisabeth,Christ,female,2,false
0095,Isabell,Schneider,female,2,false
0096,Matteo,Lorenz,male,3,false
0097,Anton,Schneider,male,2,false
0098,Luna,Berger,female,3,false
0099,Ronja,Teichmann,female,3,false
0100,Ulrich,Martell,male,6,false
0101,Lisa,Stark,female,10,false
0102,Frieda,Lannister,female,10,false
0103,Marlene,Schmidt,female,1,false
0104,Anna,Berger,female,1,false
0105,Lena,Martell,female,4,false
0106,Alexander,Krause,male,3,false
0107,Johann,Ilsner,male,2,false
0108,Jana,Kuhn,female,3,false
0109,Matteo,Greyjoy,male,6,false
0110,Zoe,Schneider,female,1,false
0111,Lina,Graf,female,3,false
0112,Daniel,Schroder,male,2,false
0113,Sam,Schwarz,male,2,false
