name,surname,gender,region,allegiance
Jana,Herrmann,female,3,Lannister
Malte,Braun,male,3,Lannister
Noah,Dietrich,male,1,Targaryen
Dieter,Lannister,male,10,Lannister
Helene,Graf,female,3,Martell
Paulina,Schuster,female,1,Tyrell
Jakob,Martell,male,8,Martell
Sarah,Schmitz,female,2,Martell
Valentina,Maier,female,1,Martell
Valentin,Zimmermann,male,1,Frey
Ulrich,Greyjoy,male,9,Greyjoy
Maxim,Voigt,male,2,Frey
Fabian,Orlowski,male,1,Lannister
Bastian,Lannister,male,10,Lannister
Colin,Targaryen,male,8,Targaryen
Toni,Schumacher,male,3,Lannister
Celina,Lannister,female,9,Lannister
Jan,Greyjoy,male,9,Greyjoy
Mattis,Orlowski,male,2,Baratheon
Elena,Schubert,female,1,Tyrell
Anni,Kuhn,female,3,Lannister
Jasmin,Schmitz,female,2,Tyrell
Dominic,Schmidt,male,3,Bolton
Emma,Krause,female,1,Baratheon
Kilian,Hahn,male,2,Lannister
Lara,Martell,female,5,Martell
Luca,Köhler,male,1,Martell
Martha,Ullrich,female,3,Martell
Lara,Christ,female,2,Baratheon
Tobias,Tyrell,male,9,Tyrell
Isabella,Baratheon,female,4,Baratheon
Liam,Schwarz,male,2,Lannister
Timo,Stark,male,4,Stark
Tim,Möller,male,2,Stark
Leila,Baratheon,female,8,Baratheon
Mira,Brandt,female,2,Bolton
Lennard,Neumann,male,3,Baratheon
Mika,Lehmann,male,3,Frey
Milan,Schreiber,male,3,Stark
Johannes,Baratheon,male,5,Baratheon
Ole,Ullrich,male,2,Martell
Sofia,Martell,female,5,Martell
Benedikt,Martin,male,2,Frey
Lotta,Conrad,female,2,Tyrell
Thomas,Friedrichs,male,1,Stark
Leonie,Roth,female,3,Lannister
Tom,Lorenz,male,2,Tyrell
Julia,Greyjoy,female,8,Greyjoy
Ella,Schreiber,female,2,Lannister
Aylin,Pfeiffer,female,3,Frey
Ann-Julie,Seidel,female,2,Arryn
Ella,Peters,female,3,Martell
Fabienne,Otto,female,3,Lannister
Melina,Kuhn,female,2,Lannister
Ulrike,Hahn,female,2,Tyrell
Sarah,Pfeiffer,female,3,Targaryen
Lilly,Jung,female,2,Martell
Victoria,Schubert,female,1,Greyjoy
Ingo,Martin,male,1,Bolton
Bennet,Tyrell,male,10,Tyrell
Linus,Arnold,male,2,Lannister
Emilia,Schmitt,female,2,Greyjoy
Mira,Krüger,female,1,Arryn
Kilian,Döring,male,3,Lannister
Benjamin,Dietrich,male,2,Lannister
Yasha,Schäfer,male,1,Martell
Maximilian,Böhm,male,3,Lannister
Lucy,Schmitz,female,2,Stark
Frieda,Lannister,female,10,Lannister
Helena,Lang,female,1,Lannister
Rafael,Hahn,male,3,Arryn
Nina,Bolton,female,7,Bolton
Nele,Becker,female,2,Martell
Maja,Berger,female,2,Martell
Jamie,Ullrich,male,2,Greyjoy
Hannes,Baumann,male,3,Arryn
Alina,Schröder,female,2,Lannister
Bianca,Böhm,female,2,Tyrell
Bastian,Martell,male,10,Martell
Bianca,Koch,female,3,Arryn
Lea,Haas,female,3,Stark
Leonard,Vogt,male,3,Tyrell
Doreen,Schwarz,female,3,Tyrell
Mira,Pohl,female,1,Frey
Frieda,Martell,female,9,Martell
Paula,Neumann,female,3,Greyjoy
Mats,Brandt,male,3,Tyrell
Katharina,Sommer,female,1,Martell
Sofia,Ingerfurth,female,3,Frey
Bastian,Schröder,male,3,Tyrell
Amelie,Krüger,female,1,Greyjoy
Stella,Krüger,female,2,Tyrell
Oliver,Frey,male,9,Frey
Zoey,Teichmann,female,1,Bolton
Mila,Baratheon,female,5,Baratheon
Maxim,Schmidt,male,1,Greyjoy
Frieda,Köhler,female,1,Baratheon
Liam,Roth,male,3,Arryn
Jona,Ziegler,male,2,Tyrell
Moritz,Scholz,male,3,Frey
Joshua,Beck,male,3,Frey
Alexander,Ullrich,male,3,Stark
Wenke,Kraus,female,1,Tyrell
Johannes,Kühn,male,2,Baratheon
Katharina,Schreiber,female,1,Martell
Dieter,Schäfer,male,2,Baratheon
Erik,Greyjoy,male,6,Greyjoy
Isabell,Lange,female,1,Frey
Bianca,Werner,female,3,Lannister
Isabell,Sommer,female,1,Tyrell
Till,Engel,male,3,Targaryen
Hannah,Vogt,female,1,Tyrell
Anton,Walter,male,3,Greyjoy
Jannis,Thiele,male,1,Stark
Annabell,Greyjoy,female,5,Greyjoy
Colin,Köhler,male,3,Stark
Simon,Weiß,male,1,Martell
Alexander,Lange,male,2,Greyjoy
Miriam,Baratheon,female,9,Baratheon
Karl,Schäfer,male,3,Lannister
Lilly,Meyer,female,2,Martell
Marie,Maier,female,1,Greyjoy
Katharina,Rams,female,1,Stark
Helene,Lannister,female,9,Lannister
Maxim,Orlowski,male,2,Martell
Marlon,Lannister,male,5,Lannister
Bennet,Conrad,male,3,Lannister
