killerID,killerName,killerSurname,victimID,victimName,victimSurname
1997,Colin,Stark,3328,Johanna,Laine
1225,Madalin,Saulescu,1863,Chloe Le,roux
3536,Elvira,Greyjoy,2268,Vincenzo,Giuliani
2230,Giovanni,Carbone,0120,Julian,Kohler
4712,Neeltje van der,Veen,1190,Petrica,Bodiul
1997,Colin,Stark,4591,Wim,Vermeulen
1997,Colin,Stark,2043,Francesca,Palumbo
2232,Stefano,Martinelli,3995,Henrik,Carlstedt
1827,Bienvenue,Targaryen,3119,Elias,Lannister
1827,Bienvenue,Targaryen,4219,Mari,Kuznetsov
1827,Bienvenue,Targaryen,3043,Olavi,Tyrell
1827,Bienvenue,Targaryen,4026,Romet,Sarapuu
3043,Olavi,Tyrell,3955,Tilda,Lannister
2464,Emanuele,Colombo,4831,Hendrika van,Lannister
2828,Bozena,Szulc,2334,Giulia,Moro
0925,Vincent,Tyrell,4104,Robin,Bogdanov
4142,Arina,Aleksandrov,4201,Hugo,Peterson
4231,Martin,Frey,1085,Antoniu,Martell
2340,Monica,Sala,1193,Ruxandra,Argesanu
2340,Monica,Sala,1556,Yuna,Olivier
2917,Zofia,Bolton,1530,Ambre,Greyjoy
0276,Zoe,Schulte,4590,Stefan van der,Meulen
1669,Louis,David,3978,Arvid,Greyjoy
4567,Willemijn,Kuipers,2452,Veronica,Riva
1062,Marcela,Butoi,3300,Virpi,Miettinen
2991,Grazyna,Szewczyk,2492,Christian,Targaryen
3009,Tapani,Uusimaki,4490,Sten,Nomm
3062,Tarja,Jarvinen,1996,Malik,Targaryen
3302,Jyri,Koskinen,4800,Mathijs,Bosman
1927,Edwige,Humbert,0524,Drahoslava,Surka
3372,Mika,Lannister,4037,Lisandra,Kask
4171,Elisabeth,Melnik,1865,Lola,Schmitt
3062,Tarja,Jarvinen,1001,Marioara,Angelescu
4792,Heleen,Groen,1717,Mateo,Paris
2579,Klaudia,Stark,3515,Elvira,Wisell
2579,Klaudia,Stark,1664,Gaspard,Barre
2579,Klaudia,Stark,1954,Alexandra,Guillaume
0489,Martin,Neumann,3847,Elsa,Hallgren
3057,Juha,Arryn,2394,Valentina,Neri
0898,Cecilia,Dvonc,0622,Matilda,Cibulka
3883,Maja,Blomberg,1136,Coralia,Badea
0995,Valentina,Jano,4124,Milana,Bogdanov
0583,Dagmara,Martin,2665,Amadeusz,Michalak
4461,Mirtel,Lannister,4030,Sten,Martell
4461,Mirtel,Lannister,3533,Johanna,Wisell
4118,Lisandra,Stark,4168,Mirtel,Martell
4118,Lisandra,Stark,3450,Taneli,Miettinen
4118,Lisandra,Stark,3291,Veijo,Koskinen
4118,Lisandra,Stark,2099,Andrea,Palumbo
4118,Lisandra,Stark,3864,Klara,Wahlgren
4118,Lisandra,Stark,2519,Amelia,Mroz
4118,Lisandra,Stark,0236,Tobias,Lange
2304,Valentina,Colombo,2818,Emil,Baran
1147,Atena,Frey,1879,Stanislas,Vasseur
1147,Atena,Frey,4239,Sebastian,Johanson
4372,Jaanika,Ivanov,3010,Kalle,Hayha
3904,Gustav,Wiberg,1224,Mariuca,Bilasco
0343,Lilly,Jager,0316,Frieda,Heinrich
0343,Lilly,Jager,4376,Polina,Rand
2391,Alessandra,Frey,0334,Liam,Ullrich
3368,Vaino,Virtanen,3089,Liisa,Kosunen
3337,Pekka,Lahteenmaki,0348,Carlotta,Orlowski
3807,Vendela,Wahlgren,3571,Jesper,Lundin
4242,Raido,Targaryen,1727,Malo,Frey
4242,Raido,Targaryen,0914,Julia,Baso
4242,Raido,Targaryen,0578,Eugenia,Greyjoy
4242,Raido,Targaryen,4785,Eline de,Graaf
4242,Raido,Targaryen,0565,Karolina,Stark
0371,Anni,Targaryen,4010,Emma,Karu
0371,Anni,Targaryen,2495,Riccardo,Martell
0371,Anni,Targaryen,0784,Stanislava,Andras
0371,Anni,Targaryen,2881,Gabriela,Bolton
0371,Anni,Targaryen,1392,Miron,Almas
0371,Anni,Targaryen,2210,Luca,Bellini
0371,Anni,Targaryen,2877,Waldemar,Koziol
0371,Anni,Targaryen,0451,Carla,Schmidt
0371,Anni,Targaryen,3352,Lotta,Virtanen
0371,Anni,Targaryen,2766,Diana,Mroz
0371,Anni,Targaryen,4214,Martin,Paju
0371,Anni,Targaryen,1655,Chaima,Payet
0371,Anni,Targaryen,3252,Eero,Westerlund
0371,Anni,Targaryen,1599,Sarah,Rolland
0371,Anni,Targaryen,3933,Johan,Bergman
0371,Anni,Targaryen,4084,Robin,Rand
0371,Anni,Targaryen,1402,Lentin,Sturdza
0371,Anni,Targaryen,1808,Nicolas,Lefebvre
0371,Anni,Targaryen,0297,Julius,Schumacher
0371,Anni,Targaryen,1261,Madalin,Rusca
0371,Anni,Targaryen,2830,Grazyna,Nowak
0371,Anni,Targaryen,2972,Sylwester,Greyjoy
0371,Anni,Targaryen,4574,Camiel van der,Ven
0371,Anni,Targaryen,4099,Jaanika,Bogdanov
2383,Federico,Mazza,3098,Lotta,Lannister
4808,Hanneke van,Dijk,3107,Marjatta,Lannister
3977,Edvin,Hallgren,4343,Oskar,Tomson
3751,Elsa,Blomberg,4327,Lenna,Martell
3751,Elsa,Blomberg,3122,Kalle,Lannister
1511,Amine,Guichard,4866,Yasmijn van den,Brink
1511,Amine,Guichard,2803,Teresa,Baran
1804,Maiwenn,Lannister,1816,Charlotte,Boucher
2652,Henryk,Martell,2047,Serena,Longo
2652,Henryk,Martell,4313,Maksim,Sergejev
2652,Henryk,Martell,3488,Ilmari,Frey
3212,Sofia,Seppala,3762,Selma,Nordin
3160,Anna,Jokinen,4551,Mirthe,Willemsen
4039,Raido,Martell,0798,Berta,Jano
4039,Raido,Martell,4767,Noortje van den,Broek
4039,Raido,Martell,2620,Makary,Szczepaniak
4039,Raido,Martell,2861,Artur,Kolodziej
1487,Carol,Camataru,0091,Frieda,Bauer
2300,Manuel,Gallo,1177,Teona,Leca
4497,Hugo,Sepp,0951,Roman,Murin
2847,Hildegarda,Stark,3420,Raila,Martell
2847,Hildegarda,Stark,3906,Ronja,Ekman
2847,Hildegarda,Stark,1297,Eric,Miclea
2847,Hildegarda,Stark,1272,Marcu,Hurezeanu
2847,Hildegarda,Stark,1921,Yanis,Millet
2847,Hildegarda,Stark,1734,Diego,Lemaitre
2847,Hildegarda,Stark,2083,Alessio,Barbieri
1126,Ionela,Pascanu,2442,Eleonora,Morelli
1809,Romain,Leclercq,1490,Cerasela,Filimon
1830,Leonie,Hubert,1214,Sorin,Martell
1260,Niculina,Lannister,2415,Giorgia,Rizzo
1260,Niculina,Lannister,3181,Elias,Siren
0461,Toni,Zimmermann,0140,Valentin,Seidel
4207,Marleen,Stark,4196,Karl,Jakovlev
4207,Marleen,Stark,4483,Sander,Alekseev
4207,Marleen,Stark,2675,Aneta,Marciniak
4207,Marleen,Stark,4787,Gerard de,Haan
3208,Katja,Koskinen,4238,Nikita,Vaher
0100,Lisa,Tyrell,1507,Timothee,Collin
1651,Zoe,Payet,0298,Marie,Arnold
4335,Madis,Baratheon,2126,Salvatore,Sartori
3381,Tapio,Yrjola,4125,Kevin,Martell
0482,Nico,Stein,2888,Igor,Wieczorek
0058,Gunter,Franke,0575,Zita,Surka
0347,Ben,Baratheon,1637,Thomas,Caron
0347,Ben,Baratheon,2079,Matteo,Martinelli
0347,Ben,Baratheon,0681,Bibiana,Valentin
0347,Ben,Baratheon,0330,Damian,Kruger
0347,Ben,Baratheon,4880,Daan de,Leeuw
0347,Ben,Baratheon,4826,Tom van der,Lannister
3797,Anna,Skog,4402,Sofia,Rand
2212,Luca,Parisi,3073,Eero,Nieminen
2501,Izabela,Mazur,3058,Pekka,Frey
4661,Ernst van der,Baratheon,2291,Antonio,Tyrell
4661,Ernst van der,Baratheon,1464,Aureliana,Basescu
4661,Ernst van der,Baratheon,4278,Daniil,Pavlov
1476,Remus,Stark,4252,Mari,Belov
1476,Remus,Stark,0691,Irma,Martincek
3530,Tova,Hallgren,0845,Maros,Stefanka
0726,Michal,Martell,1689,Nicolas,Deschamps
0726,Michal,Martell,0315,Emilia,Lannister
0726,Michal,Martell,2149,Camilla,Montanari
0726,Michal,Martell,2968,Monika,Martell
0726,Michal,Martell,1238,Robertina,Ciortea
0643,Olga,Murgas,3079,Taneli,Toivonen
1195,Flora,Schiopu,0829,Zoja,Frey
1057,Tamara,Becheru,0195,Maxim,Stein
