charID1,name1,surname1,charID2,name2,surname2
0198,Melina,Albrecht,4817,Olaf,Scholten
0779,Norbert,Valenta,2213,Luca,Parisi
4595,Henk de,Leeuw,2852,Aneta,Sikora
4676,Olaf,Peters,3159,Paivi,Aalto
2919,Magda,Lannister,2441,Pietro,Ricci
2225,Beatrice,Monti,3415,Teemu,Siren
0029,Leonie,Schmitt,4546,Arjan van,Vliet
1698,Loevan,Greyjoy,0738,Alojza,Baca
3754,Selma,Kjellberg,3670,Arvid,Liljegren
0102,Frieda,Lannister,4893,Valentijn,Lannister
2989,Zbigniew,Krol,3712,Johanna,Lannister
0449,Noah,Becker,0992,Laura,Lannister
4543,Sander van den,Brink,2226,Alessandra,Basile
0450,Lena,Schreiber,2650,Ryszard,Wojcik
0608,Radomir,Fabian,1225,Mariuca,Lannister
4456,Aleksander,Frey,1337,Zaraza,Somesan
0534,Petra,Uram,0015,Jannis,Stark
3516,Elvira,Wisell,4214,Robin,Orav
0955,Levoslav,Lukac,0043,Lena,Hoffmann
4949,Lars de,Lannister,0301,Luise,Frey
4699,Neeltje,Kuijpers,1261,Niculina,Avramescu
3430,Katja,Frey,3134,Tapio,Kosunen
1915,Arthur,Baratheon,2742,Zuzanna,Lannister
1802,Gilbert,Bebert,2305,Valentina,Colombo
4973,Mark van,Martell,4066,Mari-Liis,Vinogradov
3986,Klara,Johansson,2544,Andrzej,Frey
1556,Leonard,Weber,3513,Jesper,Wahlgren
0010,Leila,Gross,3166,Mikael,Virtanen
2152,Marco,Benedetti,0347,Fiona,Baratheon
1440,Nora,Proca,0306,Yasha,Beck
3099,Lotta,Aalto,2033,Nicolo,Marino
3988,Anna,Nordin,0499,Benedikt,Pohl
1108,Arina,Ungheanu,2810,Teresa,Bolton
3820,Stina,Bagge,0619,Bohumil,Stark
4263,Kevin,Sepp,4907,Carlijn van der,Meulen
2069,Francesca,Conti,3381,Kai,Jokinen
0347,Fiona,Baratheon,4522,Bas,Stark
4634,Geert van der,Velden,0519,Ida,Rak
3179,Mika,Lannister,2270,Vanessa,Montanari
0471,Jan,Bauer,0743,Veronika,Baso
3485,Verneri,Heikkinen,1750,Matteo,Morel
0104,Anna,Berger,2653,Henryk,Bak
2263,Mirko,Guerra,4248,Laura,Kangur
4170,Arina,Mets,1836,Timeo,Prevost
3111,Tapio,Yrjola,3294,Kaarina,Vaananen
2944,Adam,Sobczak,0085,Joel,Meyer
1735,Diego,Lemaitre,1097,Viviana,Seciu
4027,Romet,Tyrell,0485,Nora,Voigt
1155,Constantina,Arryn,0446,Alexander,Fuchs
0401,Gunter,Fuchs,0713,Libusa,Mokros
